gene_id E15_cpn E15_corticothal E15_subcereb E16_cpn E16_corticothal E16_subcereb E18_cpn E18_corticothal E18_subcereb P1_cpn P1_corticothal P1_subcereb
0610007C21Rik 36.2885 29.6983 33.4049 39.3774 34.4375 30.0979 42.2177 39.8568 32.0348 59.9407 58.4094 54.1862
0610007L01Rik 12.0695 10.9661 10.9201 10.3537 11.0081 12.3013 10.7857 11.4197 11.6068 16.325 17.0541 14.9461
0610007P08Rik 6.41238 7.04634 7.64108 6.97155 7.23261 6.70851 6.20445 6.60151 4.91168 3.99317 3.80641 3.23802
0610007P14Rik 20.8943 13.6725 14.8445 23.5194 16.2461 28.8729 29.6197 21.1791 36.8388 29.3594 22.103 32.7
0610007P22Rik 20.8007 19.6865 21.9976 18.0906 18.255 19.1376 18.0873 18.0696 17.4832 22.2544 23.9843 24.6215
0610008F07Rik 0 0 0 0 0 0 0 0 0 0 0 0
0610009B22Rik 14.0043 11.7417 13.6329 11.7327 10.2536 11.3749 10.7726 9.84334 11.546 6.72398 6.88208 9.91624
0610009D07Rik 29.0735 20.7907 23.3478 25.4962 22.2891 25.9695 22.0194 22.0189 23.3199 29.5434 33.1021 33.0162
0610009O20Rik 21.4159 19.6082 17.1081 23.9373 23.8992 18.4699 25.4467 30.963 19.1341 24.5086 31.1852 14.2045
0610010B08Rik 0.400571 0.528217 0.560404 0.492136 0.604494 0.506326 0.56687 0.655278 0.564568 0.248238 0.264239 0.15488
0610010F05Rik 49.551 43.2106 38.9113 49.0551 36.7837 37.0315 45.138 34.5618 45.6472 41.3023 31.0995 43.8616
0610010K06Rik 4.49017 3.93786 4.39944 3.38444 3.99432 4.38608 3.57375 3.87554 3.10081 2.08914 2.43454 2.35391
0610010K14Rik 28.1358 25.6284 31.0248 22.9014 23.6099 29.389 22.9601 24.0966 26.2389 28.5934 37.0664 37.0483
0610010O12Rik 2.50215 3.83398 3.20653 2.3651 4.27108 3.9649 3.14644 7.41525 6.44143 6.2364 14.0385 9.94148
0610011F06Rik 10.5427 5.79396 7.16026 8.85927 6.00592 5.68314 6.93749 6.43569 4.10381 7.0397 5.73237 3.41746
0610011L14Rik 10.9869 8.89857 9.72494 10.4398 9.37176 10.9858 10.9088 10.3528 11.6322 12.3016 13.3748 13.3414
0610012G03Rik 14.5217 14.5282 15.7623 15.3591 14.1171 19.5733 17.6928 13.942 21.6458 22.0163 21.6139 30.844
0610012H03Rik 0.00899176 0 0 0.016891 0 0 0.00947629 0.024719 0.00869761 0 0 0
0610030E20Rik 9.64353 8.88345 9.17639 9.40998 8.35843 8.06682 8.19497 7.23076 5.951 7.92455 6.7369 4.00079
0610031J06Rik 9.62837 10.7002 11.0521 9.04472 9.51788 10.4303 8.86333 10.1643 10.3803 10.8992 10.4628 14.0452
0610037D15Rik 0.541138 1.1357 0.887128 0.680285 0.860403 0.687683 0.373719 0.985029 0.16273 0.0950851 0.726107 0.0918913
0610037L13Rik 12.379 16.4803 14.0686 12.8635 16.2825 14.521 12.5985 16.7312 15.5978 15.8183 20.1899 21.0974
0610037P05Rik 25.2092 25.8874 27.6955 25.0251 25.7089 26.001 22.7124 25.0623 23.9484 28.56 31.08 31.2288
0610038F07Rik 1.43862 1.77537 2.22851 1.68191 1.48942 1.45704 1.58454 1.50663 1.31851 1.72647 1.82184 1.32181
0610040B10Rik 0.237418 0.487616 0.438888 0.651053 0.133101 0.495441 0.696792 0.687838 0.852445 0.494765 1.28224 0.774526
0610040J01Rik 0.0126193 0.00829269 0 0.227051 0.013496 0.105095 0.497327 0.0933045 0.406943 0.996143 0.187428 0.830242
0910001L09Rik 21.6771 21.7561 23.5257 22.7965 25.0502 27.3115 27.4637 30.9559 33.045 31.9402 34.4513 38.2762
100039707 0.993624 2.15176 1.782 2.79016 2.45483 2.21278 3.24103 5.56289 4.37781 3.044 4.27226 4.36515
100042579 0 0 0 0 0 0 0 0 0 0 0 0
100043387 0.00445381 0 0.00551673 0 0.00535623 0.0145597 0.0159415 0.0353044 0.0144285 0.00739779 0.00993509 0.0165996
1100001G20Rik 0 0 0 0 0 0 0 0 0 0 0 0
1110001A07Rik 1.21743 1.00175 0.871055 1.2144 1.3415 0.767459 1.39398 1.11439 1.45164 0.429108 0.461411 0.466894
1110001A16Rik 4.53813 5.25155 5.08373 4.87563 5.09999 5.13091 5.41265 5.59462 6.40881 5.84119 6.62263 8.33461
1110001J03Rik 11.9442 8.84853 10.0482 10.2021 8.68196 10.0989 14.9732 12.6699 15.0261 25.834 26.0119 25.9708
1110002B05Rik 15.9413 12.5827 12.3269 15.7016 13.1907 13.0598 18.6514 17.5802 18.3475 22.4706 24.7959 25.2821
1110002N22Rik 4.08558 2.67815 3.45582 3.77885 3.06636 3.37924 3.71511 3.76845 3.17878 3.13166 3.11148 3.2147
1110003E01Rik 19.5922 17.5862 16.6286 23.7595 21.6019 20.1493 24.4078 24.5218 23.0143 27.6991 29.7756 26.0098
1110004E09Rik 10.3907 10.2805 10.0013 11.512 12.3005 14.1372 12.078 15.4035 15.0468 12.8908 14.5554 15.724
1110004F10Rik 73.9733 73.6524 75.0354 75.8263 81.3108 89.675 79.5009 92.3008 84.1862 100.316 120.629 104.741
1110005A03Rik 16.3396 19.2466 16.7008 15.3897 19.8555 12.9336 15.8769 18.8264 12.3221 11.8818 12.8953 10.1313
1110005A23Rik 4.21259 4.15095 3.81451 3.45095 2.86179 3.74363 4.01156 3.40238 4.16257 5.043 5.09027 4.52171
